-test.shuffle 1711849264447258494
goos: linux
goarch: amd64
pkg: github.com/speedyhoon/jay/bench/uint16s
cpu: Intel(R) Core(TM)2 Duo CPU     T6400  @ 2.00GHz
BenchmarkReadUint16s2-2         	19885401	        61.46 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	20296826	        62.16 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	19977792	        62.85 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	20072095	        61.89 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	19119657	        62.63 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	19637362	        62.71 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	20293734	        59.64 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	20247783	        61.67 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	18605149	        62.76 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	18879387	        63.19 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	19989039	        64.81 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	20608453	        62.81 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	17697458	        62.61 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	19176546	        62.76 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20558274	        59.13 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	19518375	        58.98 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	19871946	        60.85 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	17596038	        59.63 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20327079	        59.21 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	18787360	        57.95 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20859516	        58.76 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21602704	        55.82 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21265513	        56.76 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21257455	        56.19 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20546688	        57.34 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21516058	        56.34 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20660662	        58.82 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20893426	        57.62 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21060010	        57.37 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21451990	        56.97 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20938594	        57.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20602099	        55.78 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	19969545	        55.77 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20761668	        56.15 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	19318280	        56.11 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21385747	        56.47 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21164265	        57.51 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20581911	        54.92 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	17407801	        58.71 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	17684395	        58.65 ns/op	       8 B/op	       1 allocs/op
