Benchmarking Unmarshal23:  [30 171 22]
-test.shuffle 1744254435149331026
goos: linux
goarch: amd64
pkg: github.com/speedyhoon/jay/generate/testdata/boolDef
cpu: Intel(R) Core(TM)2 Quad CPU    Q8300  @ 2.50GHz
Benchmark23_Unmarshal_Jay-4    	52487755	        25.31 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	50261229	        20.96 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	57263593	        19.07 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	68485456	        19.60 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	63778646	        18.77 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	67186777	        17.81 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	50959218	        19.81 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	61377378	        18.05 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	68222166	        18.05 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	62112385	        18.07 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	67907486	        20.90 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	66140970	        20.61 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	57302337	        20.65 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	67451588	        19.86 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	51793645	        20.46 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	68144125	        19.72 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	68306905	        19.10 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	56654286	        18.45 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	68348992	        18.16 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	68375085	        18.13 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	52762612	        20.34 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	55344991	        21.79 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	67690840	        17.70 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	67600826	        18.66 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	52712059	        19.91 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	68242476	        19.53 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	64900004	        19.02 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Unmarshal_Jay-4    	56552901	        19.48 ns/op	       0 B/op	       0 allocs/op
Benchmark23_Marshal_Gob-4      	   55184	     22064 ns/op	    2768 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   61927	     19797 ns/op	    2685 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   63693	     19745 ns/op	    2666 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   52744	     20035 ns/op	    2803 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   57606	     20632 ns/op	    2736 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   66364	     18234 ns/op	    2640 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   63020	     19741 ns/op	    2673 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   59988	     18886 ns/op	    2707 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   65210	     18276 ns/op	    2651 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   59743	     19354 ns/op	    2710 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   63772	     18190 ns/op	    2665 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   65198	     18731 ns/op	    2651 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   64713	     18452 ns/op	    2656 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   70186	     20293 ns/op	    3203 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   61810	     19773 ns/op	    2686 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   64827	     19638 ns/op	    2654 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   57812	     21326 ns/op	    2733 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   69385	     19966 ns/op	    3216 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   59024	     19272 ns/op	    2718 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   63085	     18487 ns/op	    2672 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   65406	     20366 ns/op	    2649 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   57952	     22481 ns/op	    2731 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   36342	     32085 ns/op	    3162 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   45789	     31356 ns/op	    2923 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   40412	     25157 ns/op	    3045 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   59380	     21355 ns/op	    2714 B/op	      19 allocs/op
